requirement_id,program_id,requirement_category,required_credits,note,source
1,1,전공기초,6,프로그래밍 기초 이수,SW중심대학 소개2026
2,1,전공필수,9,소프트웨어 개발 핵심 과목,SW중심대학 소개2026
3,1,전공선택,9,심화 소프트웨어 과목,SW중심대학 소개2026
4,2,전공기초,6,AI 기초 이수,SW중심대학 소개2026
5,2,전공필수,9,인공지능 핵심 과목,SW중심대학 소개2026
6,2,전공선택,9,심화 AI 과목,SW중심대학 소개2026
7,3,전공기초,6,데이터 기초 이수,SW중심대학 소개2026
8,3,전공필수,9,데이터사이언스 핵심 과목,SW중심대학 소개2026
9,3,전공선택,9,심화 데이터 분석 과목,SW중심대학 소개2026
10,4,전공기초,6,XR 기초 이수,SW중심대학 소개2026
11,4,전공필수,9,XR콘텐츠 핵심 과목,SW중심대학 소개2026
12,4,전공선택,9,심화 XR 과목,SW중심대학 소개2026
13,5,전공기초,6,IoT 기초 이수,SW중심대학 소개2026
14,5,전공필수,9,지능형IoT 핵심 과목,SW중심대학 소개2026
15,5,전공선택,9,심화 IoT 과목,SW중심대학 소개2026
16,6,전공기초,6,AI시스템 기초 이수,SW중심대학 소개2026
17,6,전공필수,9,AI시스템 핵심 과목,SW중심대학 소개2026
18,6,전공선택,9,심화 AI시스템 과목,SW중심대학 소개2026
19,7,전공필수,12,인지감성컴퓨팅 핵심 과목,SW중심대학 소개2026
20,7,전공선택,9,심화 인지감성 과목,SW중심대학 소개2026
21,8,전공필수,12,앰비언트컴퓨팅 핵심 과목,SW중심대학 소개2026
22,8,전공선택,9,심화 앰비언트 과목,SW중심대학 소개2026
23,9,전공필수,12,장애인라이프케어 핵심 과목,SW중심대학 소개2026
24,9,전공선택,9,심화 장애인케어 과목,SW중심대학 소개2026
25,10,전공필수,12,시니어라이프케어 핵심 과목,SW중심대학 소개2026
26,10,전공선택,9,심화 시니어케어 과목,SW중심대학 소개2026
