keyword_id,offering_id,keyword,keyword_source,confidence_score,keyword_category,weight,source_text
1,1,소프트웨어개발,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
2,1,프로그래밍,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
3,1,풀스택개발,프로그램소개,0.85,확장키워드,0.7,SW중심대학 소개2026
4,2,인공지능,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
5,2,딥러닝,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
6,2,머신러닝,프로그램소개,0.88,확장키워드,0.8,SW중심대학 소개2026
7,3,데이터분석,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
8,3,빅데이터,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
9,3,통계,프로그램소개,0.8,확장키워드,0.7,SW중심대학 소개2026
10,4,XR,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
11,4,가상현실,프로그램소개,0.88,확장키워드,0.8,SW중심대학 소개2026
12,4,메타버스,프로그램소개,0.85,확장키워드,0.7,SW중심대학 소개2026
13,5,IoT,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
14,5,임베디드,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
15,5,센서,프로그램소개,0.8,확장키워드,0.7,SW중심대학 소개2026
16,6,AI시스템,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
17,6,클라우드,프로그램소개,0.88,확장키워드,0.8,SW중심대학 소개2026
18,7,감성컴퓨팅,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
19,7,HCI,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
20,7,인간컴퓨터상호작용,프로그램소개,0.85,확장키워드,0.8,SW중심대학 소개2026
21,8,앰비언트컴퓨팅,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
22,8,엣지컴퓨팅,프로그램소개,0.88,확장키워드,0.8,SW중심대학 소개2026
23,8,ubiquitous,프로그램소개,0.8,확장키워드,0.7,SW중심대학 소개2026
24,9,장애인케어,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
25,9,AI융합,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
26,9,보조공학,프로그램소개,0.85,확장키워드,0.8,SW중심대학 소개2026
27,9,장애인복지,프로그램소개,0.8,확장키워드,0.7,SW중심대학 소개2026
28,10,시니어케어,프로그램소개,0.95,핵심키워드,1.0,SW중심대학 소개2026
29,10,AI융합,프로그램소개,0.9,핵심키워드,0.9,SW중심대학 소개2026
30,10,노인복지,프로그램소개,0.85,확장키워드,0.8,SW중심대학 소개2026
31,10,스마트홈,프로그램소개,0.8,확장키워드,0.7,SW중심대학 소개2026
32,13,SW기초실습,강좌정보,0.9,핵심키워드,1.0,SW중심대학 소개2026
33,14,파이썬,강좌정보,0.95,핵심키워드,1.0,SW중심대학 소개2026
34,15,자바,강좌정보,0.95,핵심키워드,1.0,SW중심대학 소개2026
35,16,데이터베이스,강좌정보,0.9,핵심키워드,1.0,SW중심대학 소개2026
36,17,웹개발,강좌정보,0.9,핵심키워드,1.0,SW중심대학 소개2026
37,18,알고리즘,강좌정보,0.9,핵심키워드,1.0,SW중심대학 소개2026
38,19,인공지능입문,강좌정보,0.95,핵심키워드,1.0,SW중심대학 소개2026
39,20,클라우드,강좌정보,0.9,핵심키워드,1.0,SW중심대학 소개2026
40,21,모바일앱,강좌정보,0.9,핵심키워드,1.0,SW중심대학 소개2026
41,22,AI코딩,강좌정보,0.95,핵심키워드,1.0,SW중심대학 소개2026
42,9,라이프케어,프로그램소개,0.82,확장키워드,0.75,SW중심대학 소개2026
43,10,라이프케어,프로그램소개,0.82,확장키워드,0.75,SW중심대학 소개2026
