program_course_id,program_id,course_id,recognition_type,career_path,note,source
1,1,FLOW-001,계열공통,SW개발자,기초 필수,SW중심대학 소개2026
2,1,FLOW-002,계열공통,SW개발자,기초 필수,SW중심대학 소개2026
3,1,FLOW-003,전공필수,SW개발자,핵심 과목,SW중심대학 소개2026
4,1,FLOW-050,전공필수,풀스택개발자,웹 개발 핵심,SW중심대학 소개2026
5,1,FLOW-051,전공선택,모바일개발자,모바일 개발,SW중심대학 소개2026
6,2,FLOW-001,계열공통,AI엔지니어,기초 필수,SW중심대학 소개2026
7,2,FLOW-009,전공필수,AI엔지니어,핵심 과목,SW중심대학 소개2026
8,2,FLOW-010,전공필수,ML엔지니어,핵심 과목,SW중심대학 소개2026
9,2,FLOW-011,전공필수,딥러닝엔지니어,핵심 과목,SW중심대학 소개2026
10,2,FLOW-055,전공선택,AI서비스개발자,서비스 개발,SW중심대학 소개2026
11,3,FLOW-001,계열공통,데이터분석가,기초 필수,SW중심대학 소개2026
12,3,FLOW-014,전공필수,데이터분석가,핵심 과목,SW중심대학 소개2026
13,3,FLOW-016,전공필수,빅데이터엔지니어,핵심 과목,SW중심대학 소개2026
14,3,FLOW-057,전공선택,추천시스템개발자,심화 분석,SW중심대학 소개2026
15,3,FLOW-059,전공선택,텍스트분석가,텍스트 마이닝,SW중심대학 소개2026
16,4,FLOW-001,계열공통,XR개발자,기초 필수,SW중심대학 소개2026
17,4,FLOW-018,전공필수,XR개발자,핵심 과목,SW중심대학 소개2026
18,4,FLOW-019,전공필수,3D개발자,3D 프로그래밍,SW중심대학 소개2026
19,4,FLOW-029,전공필수,게임개발자,그래픽스 핵심,SW중심대학 소개2026
20,4,FLOW-061,전공선택,디지털트윈개발자,트윈 기술,SW중심대학 소개2026
21,4,FLOW-062,전공선택,메타버스개발자,메타버스 기술,SW중심대학 소개2026
22,5,FLOW-001,계열공통,IoT개발자,기초 필수,SW중심대학 소개2026
23,5,FLOW-021,전공필수,IoT개발자,핵심 과목,SW중심대학 소개2026
24,5,FLOW-022,전공필수,임베디드개발자,핵심 과목,SW중심대학 소개2026
25,5,FLOW-033,전공선택,로봇엔지니어,로봇 공학,SW중심대학 소개2026
26,5,FLOW-063,전공선택,스마트팩토리엔지니어,팩토리 기술,SW중심대학 소개2026
27,5,FLOW-064,전공선택,자율주행엔지니어,자율주행,SW중심대학 소개2026
28,6,FLOW-001,계열공통,AI시스템엔지니어,기초 필수,SW중심대학 소개2026
29,6,FLOW-009,전공필수,AI시스템엔지니어,핵심 과목,SW중심대학 소개2026
30,6,FLOW-036,전공필수,클라우드엔지니어,핵심 과목,SW중심대학 소개2026
31,6,FLOW-052,전공선택,클라우드아키텍트,심화 설계,SW중심대학 소개2026
32,6,FLOW-056,전공선택,AI시스템운영자,시스템 운영,SW중심대학 소개2026
33,7,FLOW-009,계열공통,감성컴퓨팅개발자,특화 기초,SW중심대학 소개2026
34,7,FLOW-023,전공필수,인지감성개발자,핵심 과목,SW중심대학 소개2026
35,7,FLOW-034,전공필수,HCI연구원,인간컴퓨터상호작용,SW중심대학 소개2026
36,7,FLOW-048,전공선택,AI윤리연구원,윤리 과목,SW중심대학 소개2026
37,8,FLOW-021,계열공통,앰비언트개발자,특화 기초,SW중심대학 소개2026
38,8,FLOW-022,전공필수,앰비언트개발자,핵심 과목,SW중심대학 소개2026
39,8,FLOW-038,전공필수,엣지컴퓨팅개발자,핵심 과목,SW중심대학 소개2026
40,8,FLOW-042,전공선택,디자인씽킹전문가,디자인 과목,SW중심대학 소개2026
41,9,FLOW-011,계열공통,장애인케어AI개발자,융합 기초,SW중심대학 소개2026
42,9,FLOW-016,전공필수,장애인케어분석가,데이터 분석,SW중심대학 소개2026
43,9,FLOW-043,전공선택,장애인케어서비스개발자,프로젝트,SW중심대학 소개2026
44,10,FLOW-011,계열공통,시니어케어AI개발자,융합 기초,SW중심대학 소개2026
45,10,FLOW-016,전공필수,시니어케어분석가,데이터 분석,SW중심대학 소개2026
46,10,FLOW-043,전공선택,시니어케어서비스개발자,프로젝트,SW중심대학 소개2026
